"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
37,"No","Non-Travel",728,NA,1,4,"Medical",1,380,1,"Female",80,3,3,"Research Director",4,"Divorced",26840.1391064774,11677,2,"Y","Yes",18,4,1,80,2,15,2,4,5,2,0,2
35,"No","Travel_Rarely",1315,"Research & Development",22,3,"Life Sciences",1,381,NA,"Female",32,4,3,"Manager",2,"Divorced",35802.0785079933,19100,7,"Y","No",18,3,3,80,1,10,6,1,21,NA,6,2
56,"No","Travel_Rarely",322,"Sales",7,2,"Medical",1,382,1,"Female",44,4,2,"Sales Executive",1,"Divorced",21459.6359959019,19191,1,"Y","Yes",24,4,NA,80,1,8,3,3,8,0,NA,7
26,"No","Travel_Frequently",NA,"Research & Development",1,1,"Life Sciences",1,NA,3,"Female",84,3,2,"Manufacturing Director",2,"Divorced",14314.2230346592,26767,1,"Y","No",20,4,1,80,1,6,6,1,6,5,1,NA
50,"No","Travel_Rarely",797,"Research & Development",4,1,"Life Sciences",1,385,1,"Male",96,3,5,"Research Director",3,"Divorced",7590.98473734516,15815,3,"Y","No",NA,3,1,80,NA,28,4,2,10,4,1,6
53,"No","Travel_Rarely",1070,"Research & Development",3,4,"Medical",1,NA,3,"Male",45,1,4,"Research Director",NA,"Married",16423.8497112766,21016,3,"Y",NA,16,3,4,80,3,20,5,2,5,3,1,3
NA,"No","Travel_Rarely",635,"Sales",1,1,"Life Sciences",1,387,2,"Male",99,3,2,"Sales Executive",3,"Married",7555.01734374012,24532,1,"Y","No",25,4,4,80,0,20,3,3,20,16,11,6
29,"No","Travel_Frequently",442,"Sales",2,2,"Life Sciences",1,388,2,"Male",44,3,2,NA,4,"Single",5295.04890050352,20260,3,"Y","No",18,3,1,80,0,10,3,2,19,7,0,NA
55,"No","Travel_Rarely",147,"Research & Development",20,2,"Technical Degree",1,389,NA,"Male",50,3,2,"Laboratory Technician",4,"Married",1405.53171593633,15972,3,"Y","Yes",19,3,4,80,1,12,4,3,10,7,0,NA
26,"No","Travel_Frequently",496,"Research & Development",11,2,"Medical",1,390,1,"Male",78,3,NA,NA,1,"Married",6328.00181842357,5280,1,"Y","Yes",13,3,3,80,1,5,3,3,5,3,3,3
37,"No","Travel_Rarely",1372,"Research & Development",1,3,"Life Sciences",1,391,4,"Female",42,3,1,"Research Scientist",4,"Single",6904.01001937488,15881,1,"Y","No",12,3,2,80,0,17,3,3,89,12,5,7
44,"Yes","Travel_Frequently",920,NA,24,3,"Life Sciences",1,392,4,"Male",43,3,1,"Laboratory Technician",3,"Divorced",2570.71767082441,19920,1,"Y","Yes",22,3,4,80,1,19,0,1,1,0,0,0
NA,"No","Travel_Rarely",688,"Research & Development",20,4,"Life Sciences",1,393,4,NA,82,3,2,NA,4,NA,9526.07729568611,18899,9,"Y","No",14,3,2,80,NA,10,2,3,2,NA,0,2
26,"Yes","Travel_Rarely",1449,"Research & Development",16,1,"Medical",1,394,1,"Male",45,3,1,"Laboratory Technician",3,"Divorced",3406.23366630044,14180,2,"Y","Yes",13,3,4,80,1,5,2,3,3,9,0,1
NA,"No","Travel_Rarely",897,"Research & Development",8,2,"Life Sciences",28,395,4,"Female",66,NA,1,"Research Scientist",4,"Single",2349.82528553481,4488,1,"Y","No",21,4,4,80,0,24,3,3,5,3,0,2
49,"No","Travel_Frequently",636,"Research & Development",NA,4,"Life Sciences",1,396,3,"Female",35,3,5,"Research Director",1,"Single",90603,25594,9,"Y","Yes",NA,3,4,80,0,22,4,3,105,2,1,2
36,"No","Travel_Rarely",506,"Research & Development",3,3,"Technical Degree",1,397,3,"Male",30,3,4,"Research Scientist",2,"Single",1587.62788422834,26285,4,"Y","No",16,3,4,80,0,10,2,3,51,0,7,7
31,"No","Travel_Frequently",444,"Sales",5,3,"Marketing",1,399,4,"Female",84,3,1,"Sales Representative",2,"Divorced",3304.52306127421,3909,1,"Y","No",11,3,NA,80,3,2,5,3,2,2,2,2
26,"Yes",NA,950,"Sales",4,4,"Marketing",1,401,4,"Male",51,2,2,"Sales Executive",4,"Single",14018.6967406632,8450,1,"Y","Yes",12,3,2,80,3,8,0,NA,8,7,7,4
37,"No","Travel_Frequently",889,"Research & Development",9,NA,"Medical",1,403,2,"Male",74,3,1,"Research Scientist",4,"Married",42706,11411,1,"Y","Yes",12,3,3,80,3,4,3,2,4,2,1,2
42,"No","Travel_Frequently",543,"Sales",26,3,"Marketing",1,960,3,"Female",59,3,4,"Sales Executive",2,"Married",8989.31381474202,14864,5,"Y","No",14,3,4,80,1,NA,2,2,20,4,4,NA
18,"Yes","Travel_Rarely",230,"Research & Development",27,3,"Life Sciences",NA,405,3,"Male",NA,1,1,NA,3,"Single",253.213344485899,25233,1,"Y","No",13,3,3,80,0,0,2,3,0,0,0,10
35,"No","Travel_Rarely",1232,"Sales",16,3,"Marketing",1,406,3,"Male",96,2,3,"Sales Executive",2,"Married",51458,5100,0,"Y","No",15,3,3,80,2,12,NA,2,11,3,6,9
36,"No","Travel_Frequently",566,"Research & Development",18,4,"Life Sciences",1,407,3,"Male",NA,4,5,"Laboratory Technician",4,"Married",1703.51281778463,7122,4,"Y","No",18,3,4,80,2,22,2,3,1,0,0,0
NA,"No","Travel_Rarely",1302,"Research & Development",2,3,NA,1,408,4,"Male",84,1,2,"Manufacturing Director",2,"Divorced",448.173264482863,16321,5,"Y","No",18,3,4,80,1,13,3,NA,4,1,1,2
41,"No","Travel_Rarely",334,"Sales",2,3,"Life Sciences",1,410,1,"Male",88,3,4,"Manager",2,"Single",14152.4931773833,15896,1,"Y","No",19,3,3,80,0,22,2,3,14,10,0,4
18,"No","Travel_Rarely",812,"Sales",10,3,NA,1,411,4,"Female",69,2,NA,"Sales Representative",3,"Single",2421.07072892626,9724,1,"Y","No",12,3,1,80,0,0,2,3,0,0,NA,0
28,"No","Travel_Rarely",1476,"Research & Development",16,2,"Medical",NA,412,2,"Male",68,4,2,"Healthcare Representative",1,"Single",14035.0288334367,4824,0,"Y","No",19,3,3,80,0,9,2,3,40,3,0,7
39,"No","Travel_Rarely",218,"Sales",7,3,"Technical Degree",1,416,4,"Male",100,4,2,"Sales Executive",4,NA,41872.0603422889,26724,4,"Y",NA,11,3,2,80,1,10,3,2,8,7,7,7
39,"No",NA,1132,"Research & Development",1,NA,"Medical",1,417,NA,"Male",61,4,3,"Healthcare Representative",4,"Divorced",3027.95144332239,10942,0,"Y","No",17,3,1,80,3,19,5,2,18,2,3,7
36,"No","Non-Travel",1105,"Research & Development",24,4,NA,1,419,2,"Female",47,3,4,"Laboratory Technician",2,"Married",2960.54712526624,6927,7,NA,"No",15,3,3,80,1,11,3,2,9,8,0,12
32,"No","Travel_Rarely",906,"Sales",7,1,"Life Sciences",1,420,4,"Male",91,2,2,"Sales Executive",3,"Married",7734.93229965853,16985,1,"Y","No",NA,3,3,80,1,13,3,2,13,8,4,8
38,"No","Travel_Rarely",849,"Research & Development",25,2,"Life Sciences",1,421,1,"Female",81,2,3,"Research Director",2,"Married",30173.5179086664,26707,3,"Y","No",17,3,3,80,1,19,2,3,NA,8,0,1
58,"No","Non-Travel",390,"Research & Development",1,4,"Life Sciences",1,422,4,"Male",32,1,NA,"Healthcare Representative",3,"Divorced",2264.03723994237,17056,2,"Y","Yes",13,3,NA,80,1,12,2,3,5,3,1,2
48,"No","Travel_Rarely",691,"Research & Development",5,4,"Technical Degree",1,423,NA,"Male",86,3,1,"Research Scientist",4,"Married",3814.52768746289,10077,0,"Y","Yes",12,3,3,80,1,29,4,3,5,2,0,0
31,"No","Travel_Rarely",106,"Human Resources",2,NA,"Human Resources",1,424,1,"Male",62,2,2,"Human Resources",1,"Married",5047.1603944729,17822,3,"Y","No",12,3,4,21,0,9,1,3,2,NA,1,0
45,"No","Travel_Frequently",1249,"Research & Development",7,1,"Life Sciences",1,425,1,"Male",97,3,NA,"Laboratory Technician",1,"Divorced",11585.9453126886,20308,1,"Y","No",18,3,1,80,1,24,2,3,24,9,9,8
31,"No","Travel_Rarely",192,"Research & Development",2,4,"Life Sciences",1,426,3,"Male",32,2,1,"Research Scientist",4,"Divorced",1114.37246783914,7747,0,"Y","Yes",23,3,2,80,1,3,2,1,2,12,2,2
33,"No","Travel_Frequently",553,NA,5,4,"Life Sciences",1,428,4,"Female",31,3,3,"Manager",2,"Married",NA,6129,6,"Y","No",NA,3,NA,80,2,12,2,3,10,6,8,8
39,"No","Travel_Rarely",117,"Research & Development",10,1,"Medical",1,429,3,"Male",99,3,4,"Manager",1,"Married",18287.4290429056,5355,1,"Y","Yes",14,3,4,80,0,21,3,3,21,9,11,10
43,"No","Travel_Frequently",185,"Research & Development",10,4,NA,73,430,3,"Female",33,3,1,"Laboratory Technician",4,"Single",1220.30243637949,10675,0,"Y","No",19,3,1,80,NA,9,5,3,73,NA,1,7
49,"No","Travel_Rarely",1091,"Research & Development",1,2,"Technical Degree",1,431,3,"Female",90,3,4,"Healthcare Representative",3,"Single",7005.84888220503,17810,7,"Y","Yes",12,3,4,80,0,25,2,4,7,1,0,7
52,"Yes","Travel_Rarely",723,"Research & Development",8,4,"Medical",1,433,4,"Male",85,2,2,"Research Scientist",2,"Married",117435,17747,NA,"Y","No",15,4,1,80,0,11,3,2,8,2,7,7
27,"No","Travel_Rarely",1220,"Research & Development",5,5,"Life Sciences",47,1466,1,"Female",85,3,5,"Research Scientist",2,"Single",NA,20938,1,"Y","Yes",12,3,2,80,0,4,2,2,NA,3,1,2
32,"No",NA,588,"Sales",8,4,"Technical Degree",10,436,3,"Female",65,2,2,"Sales Executive",2,"Married",11730.6789000124,24624,1,"Y","Yes",11,3,4,2,0,13,2,3,NA,12,11,9
27,"No","Travel_Rarely",1377,"Sales",2,3,"Life Sciences",1,437,4,"Male",74,3,2,"Sales Executive",3,"Single",221.427272284119,NA,1,"Y","Yes",11,3,1,80,0,NA,3,3,5,4,0,4
31,"No","Travel_Rarely",724,"Sales",NA,3,"Marketing",1,438,NA,"Male",NA,3,2,"Sales Executive",4,"Divorced",NA,7143,4,"Y","No",21,3,4,80,3,13,2,3,7,7,1,7
32,"No","Travel_Rarely",361,NA,7,4,"Medical",1,439,NA,"Female",74,4,2,"Research Scientist",2,"Single",11538.7438227461,10557,7,"Y","No",16,3,3,80,0,10,0,2,35,7,8,7
28,"Yes","Travel_Rarely",NA,"Research & Development",2,4,"Medical",1,440,1,"Male",84,1,1,"Research Scientist",4,"Married",2452.45836460341,24737,5,"Y","Yes",NA,3,NA,73,0,5,4,2,3,2,15,2
30,"No","Travel_Rarely",820,"Research & Development",28,3,"Medical",1,441,4,"Female",64,3,2,"Research Scientist",3,"Married",4911.12049533138,11934,1,"Y","No",13,3,4,80,2,17,2,3,10,NA,1,9
31,NA,"Travel_Frequently",798,"Research & Development",7,2,"Life Sciences",1,442,3,"Female",48,2,3,"Manufacturing Director",3,"Married",7130,14034,1,"Y","No",24,4,1,80,1,25,NA,3,50,9,8,9
39,"No","Travel_Frequently",672,"Research & Development",7,2,"Medical",1,444,3,"Male",54,2,5,"Manager",4,"Married",114275,NA,1,"Y","No",15,3,1,80,1,NA,2,3,21,9,13,3
39,"Yes","Travel_Rarely",1162,"Sales",3,2,"Medical",1,445,4,"Female",77,3,2,"Sales Executive",3,"Married",NA,17778,4,"Y","Yes",18,3,1,80,0,12,3,2,1,0,10,NA
33,"No","Travel_Frequently",508,"Sales",10,3,"Marketing",1,446,2,"Male",46,2,2,"Sales Executive",4,"Single",1275.6758359063,4317,3,"Y","No",14,3,3,11,0,NA,6,2,7,7,0,NA
47,"No","Travel_Rarely",1482,"Research & Development",5,5,"Life Sciences",1,447,4,"Male",42,3,5,"Research Director",3,"Married",15949.7470691906,16375,4,"Y","No",11,3,2,40,1,21,2,3,3,2,1,1
43,"No","Travel_Frequently",559,"Research & Development",10,4,"Life Sciences",1,893,3,"Female",82,2,2,"Laboratory Technician",3,"Divorced",NA,6227,1,"Y","No",23,3,2,80,1,9,3,4,59,7,0,17
NA,"No","Non-Travel",1467,"Sales",1,4,"Marketing",1,NA,3,"Male",73,NA,2,"Sales Executive",2,"Married",264.606046794894,22107,0,"Y","Yes",13,3,3,80,1,6,0,3,25,4,1,4
45,"No","Travel_Frequently",1057,"Research & Development",20,4,"Life Sciences",1,450,4,"Female",31,3,2,"Research Scientist",3,"Single",NA,16885,3,"Y","No",12,3,4,80,0,20,4,2,4,3,0,3
43,"No","Travel_Rarely",1001,"Research & Development",7,3,"Life Sciences",1,451,3,"Female",43,3,3,"Healthcare Representative",1,"Married",22522.2390734465,9262,8,"Y","No",16,3,1,80,1,10,1,2,5,0,0,0
45,"No","Travel_Rarely",549,"Research & Development",27,4,"Other",88,452,4,"Male",75,3,2,"Research Scientist",4,"Married",785.405495403105,9278,9,"Y","No",14,3,1,80,2,12,3,1,10,9,9,NA
40,"No","Travel_Rarely",1124,"Sales",1,2,"Medical",1,453,2,"Male",57,1,2,"Sales Executive",1,"Married",3539.84098987778,13273,2,"Y","Yes",22,4,3,80,2,6,0,2,4,3,0,2
29,"Yes","Travel_Rarely",318,"Research & Development",8,4,"Other",1,454,2,NA,77,1,1,"Laboratory Technician",1,"Married",1928.31323199656,4759,1,"Y","Yes",15,3,4,80,0,7,4,2,7,18,0,7
29,"No",NA,738,"Research & Development",9,5,NA,1,455,2,"Male",30,2,1,"Laboratory Technician",4,"Single",17132.2055298977,22459,0,"Y","No",11,3,3,11,0,4,2,3,3,2,2,2
30,"No","Travel_Rarely",570,"Sales",5,3,"Marketing",1,863,4,"Female",NA,2,2,NA,3,"Divorced",1860.45156466065,5431,1,"Y","No",13,3,3,80,NA,10,2,3,10,9,13,2
52,"No","Travel_Rarely",534,"Sales",8,4,"Marketing",1,783,2,"Female",56,3,3,"Sales Executive",2,"Married",23908.8225165334,13435,1,"Y","No",18,3,1,14,1,8,3,NA,8,7,0,7
37,NA,"Travel_Rarely",1192,"Research & Development",5,2,"Medical",1,460,NA,"Male",61,3,2,"Manufacturing Director",4,"Divorced",12069.2322372164,NA,7,"Y","No",16,3,3,80,1,8,2,2,6,2,0,4
38,"No","Travel_Rarely",343,"Research & Development",15,2,"Life Sciences",90,833,3,"Male",92,2,3,"Research Director",4,"Divorced",19201.0640629693,13255,7,"Y","Yes",14,3,NA,80,1,12,3,2,11,10,2,9
51,"No","Travel_Rarely",1232,"Research & Development",7,4,"Medical",1,462,3,"Female",39,NA,NA,"Manufacturing Director",4,"Single",13775.6140483415,25713,1,"Y","Yes",23,3,3,80,0,11,2,2,11,9,4,10
29,"No","Travel_Rarely",144,"Sales",8,4,"Marketing",1,463,4,"Female",39,2,2,"Sales Executive",2,NA,393.704072400285,11866,1,"Y","Yes",14,3,1,80,2,7,2,3,NA,9,1,7
NA,"No","Travel_Rarely",1296,"Research & Development",5,4,"Technical Degree",1,1905,3,"Male",62,3,3,"Manufacturing Director",1,"Single",1264.51180802057,18264,0,"Y","No",13,3,4,80,0,17,5,3,16,6,0,13
NA,"No","Travel_Rarely",1438,"Research & Development",14,1,"Life Sciences",1,1420,3,"Male",83,3,1,"Research Scientist",NA,"Divorced",1776.07172348707,16092,1,"Y","No",12,3,4,95,2,4,4,NA,20,2,0,2
41,"No","Travel_Rarely",483,"Research & Development",6,2,"Medical",1,466,4,"Male",95,2,2,"Manufacturing Director",4,"Single",695.302459215389,10110,6,"Y","Yes",15,3,4,80,0,8,5,3,5,4,1,2
47,"No","Travel_Frequently",1309,"Sales",NA,1,"Medical",1,1264,2,"Male",99,3,2,"Sales Representative",3,"Single",19593.5194663208,25751,3,"Y","No",19,3,1,80,0,19,3,3,0,0,0,0
42,"No","Travel_Rarely",810,"Research & Development",23,5,"Life Sciences",1,468,1,"Female",44,3,4,"Research Director",4,"Single",20833.1581525449,15901,NA,"Y","No",14,3,2,80,2,16,2,2,1,0,0,0
29,"No","Non-Travel",746,"Sales",2,3,"Life Sciences",1,469,4,"Male",68,3,2,"Sales Executive",4,"Married",4659.34111402555,23052,1,"Y","No",NA,3,1,80,1,4,3,2,4,3,0,2
30,"No","Travel_Rarely",544,"Human Resources",NA,1,"Technical Degree",72,470,3,"Male",52,3,1,"Human Resources",3,"Divorced",6225.73995477932,24017,0,"Y","Yes",NA,3,3,1,1,4,5,3,3,2,1,14
32,"No","Travel_Rarely",1062,"Research & Development",2,3,NA,1,471,3,"Female",75,3,1,"Laboratory Technician",2,"Married",13404.0884560894,3956,1,"Y","No",13,3,3,80,1,8,4,3,8,NA,0,7
48,"No","Travel_Rarely",530,"Sales",29,1,NA,5,473,1,"Female",91,3,3,"Manager",3,"Married",58218.3588067325,23978,3,"Y","No",21,NA,2,41,1,15,3,1,0,0,0,0
37,"No","Travel_Rarely",1319,NA,6,NA,"Medical",13,NA,3,"Male",NA,4,2,"Research Scientist",1,"Divorced",14116.7112419209,17001,4,"Y","Yes",13,3,1,80,2,13,2,3,7,7,6,7
30,"No","Non-Travel",1085,"Sales",25,2,"Technical Degree",1,475,4,"Female",59,3,2,"Sales Executive",3,"Married",3363.66211507112,6069,3,"Y","Yes",12,3,2,80,1,4,2,4,2,3,2,8
26,"No","Travel_Rarely",NA,"Sales",1,3,"Life Sciences",1,476,3,"Male",57,3,2,"Sales Executive",2,"Married",542.062579973125,20156,1,"Y","No",17,3,1,80,1,8,3,3,8,7,7,5
42,"No","Travel_Rarely",1332,"Research & Development",2,4,"Other",1,477,1,"Male",98,2,2,"Healthcare Representative",4,"Single",1053.34814782707,17078,3,"Y","No",23,NA,2,NA,0,14,6,3,NA,0,NA,0
21,"Yes","Travel_Frequently",756,"Sales",1,1,"Technical Degree",1,NA,2,"Female",99,2,1,"Sales Representative",2,NA,3.75995011941024,9150,1,"Y","Yes",11,3,3,80,0,3,3,3,3,2,1,2
36,"No","Non-Travel",845,"Sales",1,2,"Medical",NA,479,4,"Female",45,3,2,"Sales Executive",1,"Single",19.0075138626201,15276,4,"Y","No",15,3,2,80,0,7,6,3,1,0,0,0
36,"No","Travel_Frequently",541,"Sales",3,4,"Medical",1,481,1,"Male",48,2,3,"Sales Executive",4,"Married",NA,7246,NA,"Y","No",11,3,1,80,1,16,0,3,13,9,1,12
57,"No","Travel_Rarely",593,"Research & Development",1,4,"Medical",1,11,4,"Male",88,3,2,"Healthcare Representative",3,"Married",26522.1056998955,NA,2,"Y","No",11,3,3,80,0,15,2,3,3,2,1,2
58,"No","Travel_Rarely",1171,"Research & Development",10,1,"Life Sciences",1,483,4,"Female",46,4,1,"Laboratory Technician",3,"Married",3655.68978357855,22495,3,"Y","Yes",13,3,3,80,1,NA,3,3,7,7,1,2
21,"No","Non-Travel",895,NA,NA,2,"Medical",1,484,1,"Male",61,3,1,"Sales Representative",4,"Single",5078.14659394775,2851,1,"Y","No",20,4,3,80,0,3,3,2,3,2,2,2
21,"Yes","Travel_Rarely",350,"Sales",5,NA,"Marketing",1,NA,NA,"Female",34,3,1,"Sales Representative",3,"Single",3078.73484342152,9150,1,"Y","Yes",13,3,2,80,0,1,2,3,1,NA,0,0
37,"No","Travel_Rarely",921,"Research & Development",10,3,"Medical",86,486,3,"Female",NA,3,3,"Laboratory Technician",1,"Married",1406.35376680623,16588,6,"Y","No",20,4,2,80,1,17,3,3,5,4,0,3
60,"No","Non-Travel",1144,"Research & Development",7,4,"Medical",1,487,3,"Female",30,3,2,"Manufacturing Director",3,"Married",19385.4206344561,16044,2,"Y","No",14,3,3,NA,0,40,2,4,NA,0,0,0
41,"Yes","Travel_Frequently",NA,"Sales",4,3,"Marketing",1,488,1,"Male",56,3,2,"Sales Executive",2,"Single",4564.81295606229,9558,1,"Y","No",18,3,3,80,0,8,5,3,8,7,7,7
50,"No","Travel_Rarely",1046,"Research & Development",10,3,NA,1,491,4,"Male",100,2,3,"Healthcare Representative",4,"Single",21188.4336737533,2755,6,"Y","No",15,3,4,80,0,20,4,3,4,3,1,3
40,"Yes","Travel_Rarely",957,"Sales",22,2,"Marketing",1,492,3,"Male",68,2,2,"Sales Executive",3,"Married",2695.05327386299,6110,2,"Y","Yes",NA,3,1,80,2,8,6,3,6,3,1,0
31,"No","Travel_Rarely",408,"Research & Development",9,4,"Life Sciences",1,493,3,"Male",42,2,1,"Research Scientist",2,"Single",8135.85286636009,7551,0,"Y","Yes",16,3,2,21,0,3,5,3,2,2,NA,2
21,"Yes","Travel_Rarely",714,NA,12,3,"Life Sciences",34,494,3,"Female",90,4,1,"Sales Representative",2,"Single",4291.42795716074,NA,1,"Y","No",15,3,3,80,2,1,4,3,1,0,0,0
29,"No","Travel_Rarely",1283,"Research & Development",23,3,NA,1,495,4,"Male",54,3,1,"Research Scientist",4,"Single",3397.79015491095,18168,9,"Y","No",22,3,4,NA,0,6,4,3,15,2,1,9
35,"No","Travel_Rarely",755,"Research & Development",9,4,"Life Sciences",1,496,3,"Male",97,2,2,"Healthcare Representative",2,"Single",1004.93143114678,19394,9,"Y","No",19,3,3,80,0,10,5,3,1,1,0,8
27,"No","Travel_Rarely",1469,"Research & Development",1,2,"Medical",1,497,4,"Male",82,3,1,"Laboratory Technician",NA,"Divorced",3112.77937417746,17881,1,"Y","No",15,3,2,80,1,5,3,3,5,2,0,4
28,"No","Travel_Rarely",304,"Sales",9,4,"Life Sciences",1,1198,2,"Male",92,3,2,"Sales Executive",4,"Single",NA,20750,1,"Y","No",16,3,4,80,0,7,1,3,35,NA,0,7
49,"No","Travel_Rarely",1261,"Research & Development",18,3,"Other",1,499,2,"Male",31,2,3,"Healthcare Representative",1,"Single",5726.878755875,12066,8,"Y","No",24,4,3,82,0,26,2,3,5,2,0,0
51,"No","Travel_Rarely",1178,"Sales",14,2,"Life Sciences",25,500,3,"Female",87,3,2,"Sales Executive",4,"Married",15758.8102977446,12236,4,NA,"No",19,3,NA,19,1,18,2,2,7,7,0,7
36,"No","Travel_Rarely",329,"Research & Development",2,3,"Life Sciences",1,501,4,"Female",96,3,1,"Research Scientist",3,"Married",6935.23254220206,11868,4,"Y","No",13,3,3,56,1,6,3,3,2,8,2,2
34,"Yes","Non-Travel",1362,"Sales",19,NA,"Marketing",NA,502,1,"Male",67,4,2,NA,4,"Single",5413.81697377497,4652,8,"Y","Yes",13,3,2,80,0,34,3,2,5,2,0,4
55,"No","Travel_Rarely",1311,"Research & Development",2,3,"Life Sciences",1,505,3,"Female",97,3,3,"Manager",NA,"Single",10384.289074018,23258,NA,"Y","Yes",13,3,3,80,0,30,NA,4,5,4,1,NA
24,"No","Travel_Rarely",1371,"Sales",15,4,"Marketing",1,507,4,"Female",NA,3,2,"Sales Executive",3,"Divorced",10333.7748243535,5915,1,"Y","Yes",12,NA,4,44,1,12,2,4,5,2,0,3
23,"No","Travel_Rarely",202,"Sales",2,1,"Technical Degree",1,1142,3,"Male",72,3,1,"Sales Representative",2,"Married",814.351660454561,17434,1,"Y","No",23,3,1,80,1,1,3,3,1,0,0,0
26,"Yes","Travel_Frequently",575,"Research & Development",3,1,"Technical Degree",1,510,3,"Male",56,3,NA,"Research Scientist",NA,"Single",345.264091961913,6582,0,"Y","No",22,4,2,80,0,7,2,1,6,4,0,4
22,"No","Travel_Rarely",253,"Research & Development",11,3,NA,1,511,1,"Female",41,3,1,"Research Scientist",2,"Married",157.48901338706,24440,1,"Y","No",13,3,4,80,1,2,1,3,2,1,1,2
36,"No","Travel_Rarely",164,"Sales",2,2,"Medical",1,513,2,"Male",61,2,3,NA,3,"Married",449.508466296704,3809,1,"Y",NA,13,3,2,80,2,10,2,NA,22,9,9,16
30,"Yes","Travel_Frequently",464,"Research & Development",7,3,"Technical Degree",1,514,3,"Male",40,NA,1,"Research Scientist",4,"Single",2300.42769999614,NA,9,"Y","Yes",23,4,3,80,0,3,4,2,1,NA,0,0
37,"No","Travel_Rarely",1107,NA,14,3,"Life Sciences",1,515,4,"Female",95,3,1,"Laboratory Technician",1,NA,1341.599016833,26914,1,"Y","No",12,3,2,80,1,18,2,2,18,15,12,17
40,"No","Travel_Rarely",759,"Sales",2,2,"Marketing",1,516,4,"Female",46,3,4,"Sales Executive",4,"Divorced",10050.3457059419,22553,7,"Y","No",14,3,3,80,2,8,5,3,NA,4,1,3
42,"No","Travel_Rarely",201,"Research & Development",1,1,"Life Sciences",23,517,2,"Female",NA,3,1,"Laboratory Technician",1,"Divorced",4099.71629984366,20490,3,NA,"No",16,3,2,80,1,8,5,3,5,2,1,12
37,"No","Travel_Rarely",1305,"Research & Development",10,4,"Life Sciences",1,518,NA,"Male",49,3,2,"Manufacturing Director",2,"Single",4916.34342711102,21123,2,"Y","Yes",17,3,4,80,3,18,2,2,62,NA,0,1
43,"No","Travel_Rarely",982,"Research & Development",NA,2,"Life Sciences",1,443,1,"Male",59,2,4,"Research Director",2,"Divorced",9357.8266599611,4345,1,"Y","No",11,4,3,80,1,32,3,3,40,10,3,9
40,"No","Travel_Rarely",NA,"Research & Development",2,3,"Medical",1,521,2,"Female",78,2,2,"Laboratory Technician",4,"Married",9827.65986202536,13436,6,NA,"No",22,4,2,NA,1,20,3,3,1,0,9,0
54,"No","Travel_Rarely",821,"Research & Development",5,2,"Medical",1,522,1,"Male",86,3,5,"Research Director",1,"Married",36003.4635156381,8509,4,"Y","No",11,3,3,80,1,24,4,2,4,5,1,2
34,"No","Non-Travel",1381,"Sales",4,4,"Marketing",1,523,3,"Female",72,3,2,"Sales Executive",3,"Married",3106.89206199016,12740,9,"Y","No",15,3,1,80,1,6,3,3,3,2,1,2
31,"No","Travel_Rarely",480,"Research & Development",NA,2,"Medical",85,524,2,"Female",89,3,2,"Manufacturing Director",1,"Married",4498.88869886869,16216,1,"Y","No",12,3,2,80,1,13,5,1,13,NA,NA,12
43,"No","Travel_Frequently",313,"Research & Development",20,3,"Medical",1,525,4,"Male",61,3,1,"Laboratory Technician",4,"Married",575.533175629711,15238,7,"Y","No",20,4,1,80,1,8,1,3,15,NA,1,2
43,"No",NA,1473,"Research & Development",8,4,"Other",1,526,3,"Female",79,3,2,"Healthcare Representative",3,"Divorced",2704.06195124006,2227,4,"Y","Yes",14,3,4,80,0,8,3,NA,39,2,0,2
25,"No",NA,891,"Sales",4,2,"Life Sciences",1,527,2,"Female",99,2,NA,"Sales Executive",4,"Single",39420.5223097352,12090,NA,NA,"Yes",11,3,4,80,0,NA,3,3,5,4,1,3
18,"No","Non-Travel",1063,"Research & Development",25,5,"Medical",1,529,2,"Female",72,2,2,"Research Scientist",NA,"Married",NA,23866,NA,"Y","Yes",15,3,1,80,2,15,2,3,13,11,10,7
31,"No","Travel_Rarely",329,"Research & Development",2,2,"Life Sciences",3,530,4,"Male",NA,2,1,"Laboratory Technician",1,"Married",3986.84371369113,16193,1,"Y","No",12,NA,3,80,1,NA,3,NA,4,13,3,2
NA,NA,"Travel_Frequently",1218,"Research & Development",1,1,"Life Sciences",NA,531,2,"Male",52,3,NA,"Manager",3,"Divorced",7842.6927993316,8213,1,"Y","Yes",14,3,NA,72,1,21,3,3,8,8,1,6
56,"No","Travel_Frequently",906,"Sales",6,3,"Life Sciences",1,286,3,"Female",86,4,4,"Sales Executive",1,"Married",55149.396345668,NA,9,"Y","No",25,3,4,80,3,36,0,2,7,NA,7,NA
30,"No",NA,1082,"Sales",12,3,NA,1,533,2,"Female",83,3,2,"Sales Executive",3,"Single",3662.62832619776,19558,0,NA,"No",11,3,2,80,0,6,6,3,5,4,4,4
